Item Number,Item,Item Tagged with Number for Copy/Pasting,2022 RFP Inclusion Status,Item Owner,Validated by Owner,Location (Statewide vs. targeted cities/counties/ZIPS),Health Plan Contact(s),National Contact(s),Functional Area,Description (CAPABILITY DESCRIPTION),"Selling Points (HOW IT'S IMPORTANT TO NM)
- What does the state want to hear about this?
- How can we best explain the value of this?",Population Impacted/Targeted,"Data Demonstrating Effect
- Consider both outcome metrics (e.g. improved utilization rates or quality metrics) and process metrics (number of members/providers engaged, activities performed, etc.)
INTENDED RESULTS/PROOF POINT","Data Demonstrating Need
- What data best illustrates the problem this solution is solving?
WHY? (Pop Health data/Go to Market)",Link to Documentation,Existing or New in RFP,Table Stakes or Differentiation,"PopHealth Strategy: Empower Members
(direct-to-member)","PopHealth Strategy: Evolve Care
(provider & health system)","PopHealth Strategy: Engage Communities
(beyond our members/ providers)",Maternity and NICU,Access to Care,LTSS,SDOH,Care Coordination,Justice Involved,Member Experience,CISC (Children in State Custody),Native Americans,Young Adult_Kids,Community_Based_HP,Behavioral Health,Notes/Comments,VAB Flag ,Clinical Integration ,PMPM,DOA Capital Size
77,Suicide Screening,Suicide Screening (RFP Cat. #77),Committed,Arturo Cruz,,State-wide   ,,,Value-Added Benefit," - Utilize OBH’s depression screening and incentivize PCPs to screen for suicide risk during annual well visits. [Code 96127 not covered so offer as VAB; AZ rate=$4.71]
-' UHC can work to prevent suicidality by reimbursing for this depressions screening during annual well visits with PCPs.","- suicide screening is part of ZeroSuicide framework that the state it rolling out rhouhgout agencies
- Commitment to prevent suicidality by going above and beyond what is a covered benefit by the state
'- UHC understands that suicide prevention is a committment to awareness and education at all levels of care",TBD,"- a 2017 study of eight emergency departments across seven states found 30% fewer suicide attempts among patients who were screened and received evidence-based care compared with patients who were not screened. 

https://www.pewtrusts.org/en/research-and-analysis/articles/2022/01/25/suicide-risk-screenings-can-save-lives","-In 2020 the New exico suicide rate was almost 80% high than the national average
- In new Mexico Death by suicide among 12-17 year olds increased 34% between 2011 and 2020
- In new Mexico Death by suicide among ages 18+  increased 18% between 2011 and 2020",,New in RFP,Differentiator,X,X,,,,,,,,,,Member support_Intervention,,,Suicide Prevention,"Cost minimum appx $20,000 if coverage is only offered for 6,000 CISC members, assuming 80% utilization rate.",Not on core VAB list but callout in narrative below and weave throughout bid,,,
78,Member Depression Self-Assessment ,Member Depression Self-Assessment  (RFP Cat. #78),Committed,Shaun Pamphile,,State-wide   ,,,Member Services,Member self-assessment on our member portal. Based on their score they are giving guidance to follow up with a partitioner. Assessments will also be available via UHC digital kiosks that will be palced withing CBOs throughout New Mexico,"- Expansion of the mission to address mental health beyond the role of specialists and clinicians to all community members.
- Empowering our UHC families with the needed to help assess their loved ones and prevent crisis.
- Commitment to becoming a community-based health plan",all members,,"-In 2020 the New exico suicide rate was almost 80% high than the national average
- In new Mexico Death by suicide among 12-17 year olds increased 34% between 2011 and 2020
- In new Mexico Death by suicide among ages 18+  increased 18% between 2011 and 2020",,New in RFP,,X,,,,,,,,,,,,,,Suicide Prevention,,,,,
79,Automatic Care Management for suicide risk,Automatic Care Management for suicide risk (RFP Cat. #79),Committed,Lisa wannemacher,,State-wide   ,Tracy Townsend,,Care Management,"•Enroll member in care management, led by OBH, upon receipt of suicidal risk notification (via ADT, IPRO, PCP referral, etc.)",- UHC recognizes the severity of suicidality as is committed to providing the necessary support to a member that is at risk,all members,,"-In 2020 the New exico suicide rate was almost 80% high than the national average
- In new Mexico Death by suicide among 12-17 year olds increased 34% between 2011 and 2020
- In new Mexico Death by suicide among ages 18+  increased 18% between 2011 and 2020",,New in RFP,,X,,,,,,,,,,,Member support_Intervention,,,Suicide Prevention,,,,,
80,Agora LGBTQ Peer Counseling,Agora LGBTQ Peer Counseling (RFP Cat. #80),In Consideration,Jennifer Ziegler,,State-wide   ,,,Care Management,"- Agora is affiliated with the University of new mexico and are accredited by the international council for Helplines. The Agora Crisis Center provides trained peer counselors available over the phone to provide compassionate, non-judgmental listening.
- UHC will partner with Agora to expand their peer services for LGBTQ New Mexicans"," - Expansion of the mission to address mental health beyond the role of specialists and clinicians to all community members. Expanding the spectrum of care.
- LQBTQ youth disproportionately experience suicidal risk as compared to their peers",All members,,"-In 2020 the New Mexico suicide rate was almost 80% high than the national average
- In new Mexico Death by suicide among 12-17 year olds increased 34% between 2011 and 2020
- In new Mexico Death by suicide among ages 18+  increased 18% between 2011 and 2020
- in 2019, almost 25% of LGBTQ teens attempted suicide vs 6% of straight teens",,New in RFP,,X,,X,,,,,,,,,,,Community Investment,Suicide Prevention,,,,,
81,Self Care+  (Sanvello/AbleTo /Self Care),Self Care+  (Sanvello/AbleTo /Self Care) (RFP Cat. #81),Committed,Erin Roethe,,State-wide   ,Tracy Townsend,Victoria Grubaugh/Lance Abramowitz/Terri Trimm,Value-Added Benefit,"Description: is a self-help digital application that uses cognitive behavioral therapy-based tools and techniques to improve overall mental well-being and behavioral health tracking, supporting members before they are in crisis. Designed to enable resilience by building new skills and daily habits. Target Population: Targeted to members and caregivers who may deal with everyday stress, clinical needs but not ready for structured care, or as an adjunct care. Coverage/Geographic Limitations: Statewide coverage. Experience: Self Care is a new implementation; Sanvello, the prior tool, has been implemented in 22 states, including the Hoosier Care Connect program.
ABle to is a virtual therapy coaching; identifies people with unmet BH needs and pairs them with a therapist and coach. 
Used as a preclinical BH support tool for self referral. SelfCare+ AKA AbleTo provides immediate access to Cognititve Bheavioral Therapy tools and techniques that help  members build new skills to improve resiliencey. Self Care improves health outcomes by reducing depression, stress, and anxiety for members in the low-severity segment. Features include self-paced digital programs available anytime at not cost to member. Industry recognized clinical depression and anxiety questionnaires and WHO firve well being index. Evidence informed mental health support through trackers, mental health skills and tools collections and communities. Members can chose any of following mental health support: Assessment and tracking of daily mood to build awareness of emotional state. mental health skills and tools to practice evidence-informed mental health skills, collections  of relevant content to help members learn and apply skills relevant to coping with life, Community launching mid 2023 with structured chats and discussions boards. AbleTo is 4th-6th grade reading level and will be offered in Spanish upon launch. <<BH is working on getting updated content specific to Self Care+ and Terri Trimm will provide.>>","Virtual therapy coaching; identifies people with unmet BH needs and pairs them with a therapist and coach.

Virtual community platform (facebook-like) that targets healthcare/condition specific communities.
Coaching+, Therapy+ and Therapy 360 are all additional programs from Able To, all have cost and none are in any C&S market today.  
 
Coaching +  is similar to Sanvello/Self Care+ and Therapy+ can be obtained through OBHS virtual visits, therefore, we are not recommending paying additional for these programs in NM.
 
Therapy 360 - 1-on-1 weekly treatment with licensed therapist, a behavioral coach, and structured program tools. Lea Vaassen is currently working toward the availability of Therapy 360 in the Medicaid channel, however, we are very early in the discussion. Initial markets for focus are NC and FL, however, we can look to consider New Mexico in the future, however, we won’t have outcomes data in time for the RFP.",All members 13+ years of age,"97% member satisfaction
3 pillars to address current challenbes: access, quality and outcomes & values","Ranked 37th in AHR Health Outcomes, with poorest performance in Suicide rate, Drug Deaths, LBW, Diabetes, Sexual Health & Teen Births
In 2020 the New Mexico suicide rate was almost 80% high than the national average
 3rd highest elderly rate in the nation 26.5%
Highest rate of elderly in poverty in the nation",https://uhgazure.sharepoint.com/:f:/r/teams/NMCentennialCareRFP2022/Shared%20Documents/04.%20Resource%20Library/02.%20Proof%20Points%20%26%20Data/Capabilities%20-%20Supporting%20Documentation/Able%20to?csf=1&web=1&e=9rJwQW,New in RFP,Table Stakes,X,,,Perinatal Care Management,Virtually-Enabled,Person-Centered Planning & Self-Direction,Differentiating Member Support,Apps & Technology,Empowering members,Member Support_Intervention,Undisrupted care continuum,Member support_Intervention,Wellness and prevention,,,No cost,Yes (available for Caregivers as well),Integrated,,TBD
82,Community safety patrol ,Community safety patrol  (RFP Cat. #82),Committed,Latoya Joseph,,State-wide   ,Tracy Townsend,Jenna Bowman,Community Engagement," UHC to partner with courts and law enforcement to identify UHC members for case management program or detox centers, or to assist non-insured Medicaid qualified individuals with the Medicaid application process. LEAD-NM Branch (National program run by local State/Counties). National funding. CBO partner with law enforcement, connect with them and reefer back and forward –  partnership?.  Instead of being charged and booked following an arrest, the arresting officer identifies the arrestee as a potential participant for the diversion program and subsequently connects them with a case manager.
Training on mental health - courts, law enforcement, correctional facilities to identify individual with mental health issues and the best way to assist ","Justice involved people is one of the key populations NM is focused on 
80% individuals released in the US have SUD or chronic medical or psychiatric condition (2 out of 3 inmates)
Incarceration centers typically do not provide adequate intervention to address the BH needs of JI members while incarcerated. 
Overall engagement rate for Medicaid JI members is low
Difficulty connecting with members post-release creates challenges with engaging members.(Unable to reach/no care continuum)
Unfavorable racial disparity exist among all racial and ethnic groups in NM except whites
High SDOH (homeless, Food insecurity, education)
66% inmates have depression,. 80%and a SUD, chronic medical or psychiatric condition","Young Adults, Adults",," 1. NM has an incarceration rate of 733 per 100,000 people (including prisions, jails, immigration detention, and juvenile justice facilities), meaning that it locks up a higher percentage of its people thatn any democracy on earth
2. ↓ Incarceration rate of disadvantaged populations (52% latinos 6% blacks 11% NA)
3.80% individuals released in the US have SUD or chronic medical or psychiatric condition (2 out of 3 inmates)",,New in RFP,Differentiator,X,,X,,,,,,Diversion Programs,,,,,,,,,,,
83,YMCA,YMCA (RFP Cat. #83),Committed,Peter Morrison,,State-wide   ,Tracy Townsend,,Value-Added Benefit,"Partering with YMCA to 
-make available YMCA membership covering core YMCA services, billed to the health plan for active utilizers each month
- Make available Y360 Virtual Membership for remote individual and/or group programming
- Host digital kiosks (i.e., health and social service hub) within YMCA facilities, granting UHC the  exclusive right to speak to this component of the partnership the RFP, and
- Make available specialty programs that are included in YMCA’s expanded “Membership+” program offerings or that are developed in collaboration with UHC.","Supporting members and their families (CISC, justice involved, maternity, LTSS, NA, BH), YMCA will offer a place or an excuse for members to build their community while taking ownership of their health and wellbeing 
Strategic Plan Priorities:
Expand Access to Services
Improve Health Status for all New Mexicans
Ensure Safe Healthcare Environment Statewide
Pursue Organizational Excellence",All members,,"3rd highest elderly rate in the nation 26.5%
Highest rate of elderly in poverty in the nation
50% of NA are rural/50% are urban in state
Huge disparities with other demographics
13 counties exist as maternity deserts
Only 54% of non-institutionalized youth who experienced a major depressive episode In 2021 received mental health treatment
Early intervention services are scarce
80% individuals released in the US have SUD or chronic medical or psychiatric condition (2 out of 3 inmates)",https://uhgazure.sharepoint.com/:p:/r/teams/NMCentennialCareRFP2022/Shared%20Documents/02.%20RFP%20Readiness/01.%20Playbook%20%26%20Dashboard/Capabilities%20-%20Supporting%20Documentation/YMCA/NM%20UHC%20offerings.pptx?d=w93e70dd9a887447d9a689e59815881b0&csf=1&web=1&e=mi3elj,New in RFP,Differentiator,X,X,X,Rural and Frontier Access to Care,,Person-Centered Planning & Self-Direction,Differentiating Member Support,,Diversion Programs,Member Support_Intervention,Undisrupted care continuum,Empowering members ande communities,Empowering Kids/Young Adults to become their better self,In-Community Presence,,"Estimate $441k, annually ",Yes (already approved by Drew) ,,,
84,STAFF: Justice Involved Team,STAFF: Justice Involved Team (RFP Cat. #84),Committed,Bertha Monterrubio,,State-wide   ,Tracy Townsend,Latoya Joseph,Care Management,"Court Ordered Treatment- (only if mandated by State/Contract). Identified Members are under Court Ordered Evaluation (COE) or have a civil order for Mental Health Court Ordered Treatment (COT)
we need 5 FTEs (Justice Involved Liaison/Navigator, Adult Justice Reach in, Juvenile reach in, JI CHW, NA justice involved_","To better support the tree layers program: Adult Justice Reach In (AJRI):facilitates care coordination for members transitioning from a correctional institution for members Adults 18+. Incarcerated 20 days+ w/ an anticipated release date
Juvenile Justice:  Facilitates coordination of care between UHC members, guardians, providers, regulators, Juvenile Probation Departments, Juvenile Courts, Juvenile Detention and Juvenile Corrections in the State of New Mexico. Juveniles under 18 or under 19 if in the extended jurisdiction program",Justice Involved,Best practices: AZ Justice Involved program,See next tab link for  AZ Justice Involve data,HQUM Justice Release Program -MKrawczyk.pptx,New in RFP,Differentiator,X,X,,,,,,Care Mgmt Teams and SME,Care Management Program,,,,,,,,,,,
85,Trauma informed training,Trauma informed training (RFP Cat. #85),Committed,Latoya Joseph,,State-wide   ,Tracy Townsend,Latoya Joseph,Care Management,"Educating providers and correctional facilities on (Trauma-informed care  (Understanding Trauma and Trauma Informed Responses for Criminal Justice Professionals – Justice Clearinghouse) $140 each, appointment for parole what to say/not say (legal training)  ",Opportunity to drive systemic change to better reintegrate justice involved members into the society while bringing providers and correctional facilities in the conversation. This training will enhance/build providers' and correctional facilities' capabilities,Justice Involved,,"High incarceration rate in NM
Unfavorable racial disparity exit among all racial and ethnic groups in NM except whites
Overall engagement rate for Medicai JI members is low
Poverty, lack of education attainment insufficient social support network, housing insecurity, untreated BH needs, compounded by societal stigma link to JI members, creates additional barriers for successful re-entry , societal stigma,
",,New in RFP,Differentiator,,X,X,,,,,,Leverage Providers/Community Support,,,,,,,,,,,
86,PH/BH training ,PH/BH training  (RFP Cat. #86),Committed,Latoya Joseph,,State-wide   ,Tracy Townsend,Latoya Joseph,Care Management,PH/BH training with MCOs/CBO –how they work together ,,Justice Involved,,,,New in RFP,Differentiator,,X,X,,,,,,Leverage Providers/Community Support,,,,,,,,,,,
87,ScriptAbility,ScriptAbility (RFP Cat. #87),Committed,Holmberg Lopez,,State-wide   ,Tracy Townsend,Jim Hanowsky,Pharmacy,"Members receiving their medications via Optum RX delivery, could benefit of the following features we offer through ScriptAbility: having talking labels, large print labels, braille labels and dual language translation (24 language and some dialect). differentiator)","As part of our commitment to improve health care outcomes, making accessible and easy to follow instructions on the medicine our members need to take is imperative to their health journet.",All,,"3rd highest elderly rate in the nation 26.5%
Highest rate of elderly in poverty in the nation
50% of NA are rural/50% are urban in state
Huge disparities with other demographics
",ScripTalkPresentation.pptx,New in RFP,Differentiator,X,X,,Perinatal Care Management,,Person-Centered Planning & Self-Direction,,Delivery Services & Support,Empowering members,Member Communication`,Undisrupted care continuum,Member support_Intervention,Wellness and prevention,,,,,,,
88,Goodwill,Goodwill (RFP Cat. #88),In Consideration,Latoya Joseph,,State-wide   ,Tracy Townsend,Latoya Joseph,Value-Added Benefit,"UHC establishes nationwide partnership with Goodwill International to provide record expungement and workforce solution via training and placements assistance, that are relevant to specifi market need"," There is a negative stigma that is casted upon individuals with a criminal record in many areas ofo society including but not limited to employment hiring practices. This creates a barrier for those JI individuals to gain meaningful employment and live a sustainable life. Expungement of record will ai in this area
",Incarcelated population,"We are not live with it.  We expect the following outcomes.  
#of expunged/sealed records​
#of people completing training​
#people attending event​
#of SDoH screenings"," 1. NM has an incarceration rate of 733 per 100,000 people (including prisions, jails, immigration detention, and juvenile justice facilities), meaning that it locks up a higher percentage of its people thatn any democracy on earth
2. ↓ Incarceration rate of disadvantaged populations (52% latinos 6% blacks 11% NA)",,New in RFP,Differentiator,X,X,,,,,Differentiating Member Support,,Empowering members,Empower Members_SDOH elimination,,,,,,,Not core VAB - national partnership to write about throughout the bid,,,
89,Intercept program,Intercept program (RFP Cat. #89),In Consideration,Doug Annett,,State-wide   ,Tracy Townsend,Heidi Strickler,Community Engagement,"Early prevention program for keeping kids with their families. (for families that may need foster support to help with unification). In lieu of service/residential and prevention program for JI/Foster Care. Also, for family reunification ",The state values high fidelity wrap around programs. This program is on the Title IVE Evidence Based Prevention List to Meet Family First Guidelines and is documented to work with at risk families in child welfare & juvenile justice,CISC,This would be a new program for partnership with UHC,,https://youthvillages.org/services/intensive-in-home-treatment/intercept/,New in RFP,Differentiator,X,X,,,,,,Delivery Services & Support,,Member Support_Intervention,,,,,,,,,,
90,Heartland Clinics,Heartland Clinics (RFP Cat. #90),Committed,Drew Peterson,,,Drew Peterson,,Provider Investments & Partnerships,Partner with Heartland clinics to expand mobile services in NM,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,STAFF: CISC,STAFF: CISC (RFP Cat. #91),Committed,Heidi Strickler,,State-wide   ,Tracy Townsend,Heidi Strickler,Care Management,"To better support our CISC members we'll have dedicated staff to suport their end-to-end health care and social determinants of health needs, in an effor to support kids and young adults during this transition.","Provide care continuum to kids and young adults with minimum or no disruption
Hire local experience that is culturally and linguistically competent with immigration and/or refugee experience and  talent and place our care managers based on our heat mapping (where they are, and Kid’s cultural background) 
Care manager assign to Kid/Young Adult to drive continuity. Peer support Model intervention as itself
Maternity Management (done by  SCYP care management, team trained on Maternity, HFS clinical and maternity assessment. ",CISC,,,NA ,New in RFP,Differentiator,X,X,,,,,,Care Mgmt Teams and SME,,Member Support_Intervention,Undisrupted care continuum,,,,,,,,,
92,OBH Crisis line,OBH Crisis line (RFP Cat. #92),Committed,Arturo Cruz,,State-wide   ,Tracy Townsend,Blaine Bergeson,Care Management,24/7 staffed by licenced BH clinicians,,All,,,,New in RFP,Table Stakes,X,X,,Perinatal SUD/BH Treatment,,Address Social Isolation & Wellness ,,Care Mgmt Teams and SME,Post-Release Outreach,Member Support_Intervention,Undisrupted care continuum,Member support_Intervention,"Engage and Support Child, Adolescent, and Family ",,,,,,,
93,Rock-A-Bye Baby Program ,Rock-A-Bye Baby Program  (RFP Cat. #93),Committed,Heidi Strickler,,State-wide   ,Tracy Townsend,Heidi Strickler,Care Management,"Kids at hospital, care managers go to visit them so they are not alone at the hospital if none can visit them. Volunteer program. – Enterprise donates $ match for volunteer hour which staff designate to local foster care CBOs ","We want to ensure that kids in custody always have caring adults by their side, so we developed a program to visit kids in the hospital to help them feel less alone and ensure they have compassion and advocacy when needed",CISC,"In a similar state, approximately 20 hours per child in the program were engaged through our staff.
",At times children in state custody do not have immediate homes to go to or families are too far to visit.,N/A ,New in RFP,Differentiator,X,X,,,,,,,,Member Support_Intervention,Supporting kids and Young Adults to thrive,,,,,,,,,
94,"UHGApprenticeship Program, ","UHGApprenticeship Program,  (RFP Cat. #94)",Committed,Prat Varma,,State-wide   ,Tracy Townsend,Prat Varma,Care Management,"UHG Public Health, with the non-profit Institute for American Apprenticeships (IAA), established a customized, nationally registered apprenticeship program to train the workforce of the future to meet business needs, increase diversity of workforce and equity in hiring from communities we serve, have positive social impact on the community, and provide better care to people
","UHG AP will create multiple roles, filling existing critical workforce needs or creating new capabilities
Registered Apprenticeship models are proven to rapidly train and scale new roles in the health workforce
UHG AP directly addresses  equity in our hiring, allowing  people to join our Company who otherwise felt unqualified to contribute
Opportunity in NM to create and leverage novel workforce roles to enhance products and services, meeting patient and shareholder expectations
Hire from the community to serve members in that community
• Mechanism to give opportunities to those who otherwise wouldn’t have them
 Ensure core level of competency and proficiency (initial intensive training)
• Allow for regional customization (through on-the-job training)",All,"OptumRx’s Genoa pharmacies have recently hired their first cohort of apprentices in Minneapolis. OptumCare primary care 
clinics have decided to scale-up nationally in 2023. UHC Community & State will be training enhanced community health workers","Difficult to fill existing roles
– Labor shortages
– Candidates not qualified
– Educational system we rely on does not produce desired qualities
• Current roles do not meet the needs of the business to get new work done
– Wrong skills
– Missing skills
– Human and customer service attributes
 104 applicants, 9 Medical Assistant 
apprentices passed CCMA exam on 8/16 in 
Denver.
- 105 applicants, 7 Pharmacy Tech apprentices 
started on 7/18 in Minneapolis.
- >240 applicants, expect to recruit 15 MA 
apprentices in CO Springs and start on 10/10.
– Stuck in model controlled by guilds or pre-defined notions of health role",https://uhgazure.sharepoint.com/:f:/r/teams/NMCentennialCareRFP2022/Shared%20Documents/04.%20Resource%20Library/02.%20Proof%20Points%20%26%20Data/Capabilities%20-%20Supporting%20Documentation/UHG%20Apprenticeship%20Program?csf=1&web=1&e=asEl52,New in RFP,Differentiator,X,X,,,,,,Care Mgmt Teams and SME,,Member Support_Intervention,Supporting kids and Young Adults to thrive,,,,,,,,,
95,SCYP Training ,SCYP Training  (RFP Cat. #95),Committed,Heidi Strickler,,State-wide   ,Tracy Townsend,Heidi Strickler,Community Engagement,"NFPA training twice/year, Once per month training for new foster parents, 
NTDC - 3 versions - general child welfare for foster/adoptive with kinship modification, culturally specific Native American, and on-demand/right time training in special topics - These trainings are approved/made with grant from child welfare gateway and are trauma-informed super comprehensive
NCTSN: Attachment Vitamins, & 12 Core Concepts of Trauma Trainings, to be shared with caregivers/families and guided discussion & Resource Family Training *These trainings available if training specialist hired & following Heidi obtaining affiliate status (in progress)",Build/Strenghten relationship with foster parent and helping them to navigate the system,CISC,NTDC New this year.  NFPA trainings have been completed with over 150 parents in 2 months. Over 3000 older foster youth and caregivers have received individualized trauma education in a state with a similar plan.,All foster caregivers are required to complete training hours.,N/A,New in RFP,Differentiator,X,X,,,,,,,,Member Support_Intervention,Support families to understand and navigate the system,,,,,,,,,
96,Optum Health Education,Optum Health Education (RFP Cat. #96),Committed,Heidi Strickler,,State-wide   ,Tracy Townsend,Heidi Strickler,Provider Support,"Provider training on Optum Health Education (free)- eating disorders, general foster. (Differentiator)
Foster care tool kit (free resources to all), how Medicaid works for Young adults for JI (Differentiator)
Deploy training and grow the network for providers rendering trauma-informed care, intensive wraparound services, multisystemic therapy and other specialties detailed in the Kevin S. et. al. FSA Provider Trainings 
Exploring-Child Parent Psychotherapy (CPP) – is there a current learning collaborative within state? If not, is there a way to partner with the past entity that held the learning collaborative to sponsor a group of providers to go thr? (Differentiator)
Training for providers – If we have training specialist – Conduct NCTSN Trainings for Juvenile Justice Staff ","Strengthens foster/adoptive/kinship families skills and understanding related to trauma, caring for children with trauma, and helps ",CISC,"To date, nearly 3000 providers have engaged in OHE trainings specific to CISC. (2705)","Workforce development and training in specific issues pertaining to CISC, trauma, and trauma informed care for BH providers, and cross-dept training are required for compliance with the Kevin S lawsuit for NM",N/A,New in RFP,Differentiator,X,X,,Perinatal Care Management,,,,Delivery Services & Support,Leverage Providers/Community Support,Member Support_Intervention,Support families to understand and navigate the system,Provider as partner_Generational change,"Engage and Support Child, Adolescent, and Family ",,,,,,,
97,Family advocacy program,Family advocacy program (RFP Cat. #97),Committed,Heidi Strickler,,State-wide   ,Tracy Townsend,Heidi Strickler,Community Engagement,Funding for Family Advocacy Program and partnership to assist community organization that has family peers and advocates for foster caregivers.  Partnership with this organization to provide monthly groups focused on ideas and suggestions for relief of secondary traumatic stress and best practices and form path for workforce development through Navigator Team & possibly CM depending on qualifications,Helps increase relationships with foster caregivers and build health relationships for families through decreasing secondary traumatic stress. Builds pathways for sustainable workforce with individuals with lived experience through hiring of Navigators and qualified CMs,CISC,,"Due to specialized nature of CISC and national recommendations of Center for States, Center for Tribes, and ACF, hiring individuals with lived experience is best practice",N/A,New in RFP,Differentiator,X,X,,,,,,,,Member Support_Intervention,Support families to understand and navigate the system,,,,,,,,,
98,Hospital MAT Incentive Model,Hospital MAT Incentive Model (RFP Cat. #98),Committed,Victoria Grubaugh,,State-wide   ,Tracy Townsend,Victoria Grubaugh,Value-Based Care,"The Hospital VBC and toolkit is an adaptable set of supports aimed at helping hospitals overcome barriers to MAT-initiation. The tools that make up this package may vary but likely include
- Micro-incentive for MAT inititation and also for ongoing treatment
- Actionable data exchange between UHC and hospitals to help track progress
- Support to connect memebrs to ongoing treatment","Incentive program empowers local hospitals and promotes MAT treatment to adress sever OUD issues in NM
- Braodening the spectrum of where we offer MAT support to members with OUD",Members with OUD,"Program still in early stages
- Currently, we can report that in the 1st 9 months live with one our key partnership hospitals, we have seen an 8% increase in the number of members connected to MAT, which resulted in a doubling of our members connected to MAT from baseline.","•For nearly four decades, New Mexico has ranked among the highest in the nation for alcohol-related death.
- In 2018, the state recorded its second highest drug overdose death rate at 26.6 deaths per 100,000 population
- Nationaly, 50% of UHC C&S members with OUD have at least one hospital event per year, majority of these have multiple visits. Hospitals do not universally screen for SUD, and few hospitals initiate MAT in the ED or IP settings – missing key opportunity.",https://uhgazure.sharepoint.com/:f:/r/teams/NMCentennialCareRFP2022/Shared%20Documents/04.%20Resource%20Library/02.%20Proof%20Points%20%26%20Data/Capabilities%20-%20Supporting%20Documentation/OUD%20Hospital%20MAT%20VBC?csf=1&web=1&e=dl1cbv,New in RFP,,,X,,,,,,,,,,,,,Addressing SUD/OUD/AUD,,,,,
99,National Latino Behavioral Health Association,National Latino Behavioral Health Association (RFP Cat. #99),Committed,Linda Atencio,,state-wide,Linda Atencio,,Other,"- $98,000 investment into National Latino BH Assc
- The National Latino Behavioral Health Association provides national leadership on mental health and substance abuse concerns of the Latino community
- Our investment will fund and support the follwoing 
1. 2 Behavioral health Interpreter Training (BHIT) programs
2. 2 BHIT Trainings for English Speaking Staff who Use Interpreters 
3. Evidence-based Substance Abuse Prevention program for 2 cohorts of youths ages 11-14 in Northern New MExico (rural)","- Creating generational change by investing in communities and supporting underserved members (demographically and geographically)
- substance abuse is a high priority for the state and this is one of may solutions to addressing that problem",,,"- In 2018, the state recorded its second highest drug overdose death rate at 26.6 deaths per 100,000 population",https://uhgazure.sharepoint.com/:x:/r/teams/NMCentennialCareRFP2022/Shared%20Documents/02.%20RFP%20Readiness/02.%20Workstream%20%26%20Value%20Adds/08.%20Partnerships/List%20of%20Partnerships.xlsx?d=w828f5631281c4730ab45ba272d63e032&csf=1&web=1&e=aQsbnQ,New in RFP,Differentiator,,,X,,Workforce Development,,,,,,,,,Community Investment,Addressing SUD/OUD/AUD,,,,,
100,Narcan Kit ,Narcan Kit  (RFP Cat. #100),Rejected,Latoya Joseph,,State-wide   ,,,Value-Added Benefit,We will offer Narcan kits to justice involved members and their families. We realize the potential for relapse and believe this offering can mitigate that risk,- Supporting justice involved members and keeping them safe through value added beenfits,Justice involved/ NA/SUD members,,"- In 2018, the state recorded its second highest drug overdose death rate at 26.6 deaths per 100,000 population",https://uhgazure.sharepoint.com/:b:/r/teams/NMCentennialCareRFP2022/Shared%20Documents/04.%20Resource%20Library/02.%20Proof%20Points%20%26%20Data/Capabilities%20-%20Supporting%20Documentation/Naloxone/Naloxone%20Distribution%20Factsheet%202022_draft050222.pdf?csf=1&web=1&e=DRKQxz,New in RFP,,X,,,Perinatal Care Management,,Person-Centered Planning & Self-Direction,,Delivery Services & Support,Post-Release Outreach,Empower Members_SDOH elimination,,Member support_Intervention,,,Addressing SUD/OUD/AUD,,No,,,
101,Clinical Outreach For SUD/OUD/AUD,Clinical Outreach For SUD/OUD/AUD (RFP Cat. #101),Committed,Lisa wannemacher,,State-wide   ,Tracy Townsend,,Care Management,UHC will connect members experiencing SUD/OUD/AUD to clinical care management after an inpatient discharge or referral from provider/care manager/Community,- Health plan commitment to supporting memebrs experiecing SUD/OUD/AUD,Members with SUD/OUD/AUD,,"- In 2018, the state recorded its second highest drug overdose death rate at 26.6 deaths per 100,000 population",,New in RFP,,X,,,,,,,,,,,,,,Addressing SUD/OUD/AUD,,,,,
102,Psychotropic Medication Algorithms ,Psychotropic Medication Algorithms  (RFP Cat. #102),Committed,Shaun Pamphile,,State-wide   ,Tracy Townsend,,Pharmacy,"UHC will utilize Psychotropic Medication Algorithms for youth to identify prescribing issues (over perscribing, poly-Pharmacy), reviewed by psychiatrist with peer reviews conducted with prescribers. .2-.5 FTE",- UHC commitment to creating generational change by investing in staff and technology that will help prevent children from experiecning pharmecetical issues.,"Children, Children in state custody, foster kids, native american youth, children in rural/frontier areas",,Drive a culture of prevention and reducing SDOH barriers to give child/ adolescents a good start in life to influence their health outcome in the continuum,,New in RFP,Differentiator,,X,,,,,,,,,,,,,Addressing SUD/OUD/AUD,,,,,
103,Member Recovery Action Plan,Member Recovery Action Plan (RFP Cat. #103),Committed,Shaun Pamphile,,State-wide   ,Tracy Townsend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
